created_at,language,likes,retweets,text
6/12/2020 12:34,en,0,28372,"RT @FrancisBrennan: ""You know the rapidly rising umm uh in with uh with I don't know."" - Joe Biden. https://t.co/WQMkgISM1D"
6/12/2020 12:31,en,0,27426,RT @RichardGrenell: They should now be barred from federal government contracts - there should be consequences for not selling technology tâ€¦
6/12/2020 12:29,en,0,15283,RT @parscale: CLUELESS. 100% out of touch with reality.
6/12/2020 12:28,en,0,6300,RT @ScottGottliebMD: This is a critical milestone. Two therapeutic antibodies are now in the clinic with more on the way. These drugs can bâ€¦
6/12/2020 12:23,en,0,6649,RT @ByronYork: It happened 'following a peaceful demonstration...'
6/12/2020 12:22,en,0,4585,RT @ByronYork: Another Columbus statue bites the dust. https://t.co/rtqTuiXhg7 https://t.co/HHVxwuS8ow
6/12/2020 12:22,en,0,6960,RT @ByronYork: A third Christopher Columbus goes down.
6/12/2020 12:16,en,0,8372,"RT @TomBevanRCP: Media bias is not just in the stories that get covered, but the ones that don't. Total blackout on the insanity in Seattleâ€¦"
6/12/2020 12:13,en,0,13943,"RT @BuckSexton: Prepare for the onslaught of ""Trump's rallies are literally the most dangerous thing on planet earth right now"" pieces fromâ€¦"
6/12/2020 12:11,en,0,22849,"RT @bdomenech: Sculpted by an Italian immigrant who helped build Grand Central Station and his son, given as a gift during the Great Depresâ€¦"
6/12/2020 12:05,en,0,11334,"RT @euneaux: @ElijahSchaffer @MayorJenny There is only ONE person in Seattle who has the backbone to be Mayor.

Mr. This Is Library https:/â€¦"
6/12/2020 12:03,en,0,18897,RT @HeyTammyBruce: So the anarchists are building a... border wall. Okey-dokey.
6/12/2020 12:00,en,0,9441,"RT @DeAngelisCorey: Trump just called to ""enact school choice now""

""School choice is a big deal... because access to education is the civiâ€¦"
6/12/2020 12:00,en,0,9360,RT @theblaze: The debates with @realDonaldTrump are going to be a bloodbath https://t.co/Qc46tSrIMR
6/12/2020 11:59,en,0,9417,"RT @KerryPicket: So when #2A activists legally open carry in VA or Mich, it's a natl story that every governor across the country knows aboâ€¦"
6/12/2020 11:58,en,0,6035,"RT @dbongino: Jim Jordan Slams â€œCrazyâ€ Attempt to Continue Flynn Case ðŸ”¥ðŸ”¥ðŸ”¥
https://t.co/DwvHkoKadq"
6/12/2020 11:58,en,0,16373,"RT @dbongino: Project Veritas Video: Antifa Chapter Head Admits Soros Funding, Association With Tom Steyer ðŸ‘‡
https://t.co/bkSo8R7ehW"
6/12/2020 11:57,en,0,10490,"RT @Breaking911: JUST IN: President Trump tells reporters he will restart MAGA rallies in Oklahoma, Arizona, Florida &amp; North Carolina"
6/12/2020 11:57,en,0,19536,"RT @dbongino: Do you agree? ðŸ‘‡
https://t.co/7JuA38cIYp"
6/12/2020 11:53,en,47512,10612,Crazy! https://t.co/NIQIBhexKX
